,Unnamed: 0,Rank,Movie,Studio,Total Gross,All Theaters,Opening Total,Opening Theaters,Open Date,Close Date,Year
2055,81,86,The Musketeer,Uni.,27073640.00,2500,"$10,312,740 ",2438,7-Sep,0,2001
2056,82,87,Crocodile Dundee in Los Angeles,Par.,25635682.00,2166,"$7,714,362 ",2123,20-Apr,0,2001
2057,83,88,Memento,NM,25544867.00,531,"$235,488 ",11,16-Mar,0,2001
2058,84,89,Captain Corelli's Mandolin,Uni.,25543895.00,1612,"$7,209,345 ",1595,17-Aug,0,2001
2059,85,90,Sweet November,WB,25288103.00,2268,"$9,733,954 ",2268,16-Feb,0,2001
2060,86,91,15 Minutes,NL,24403552.00,2337,"$10,523,154 ",2337,9-Mar,0,2001
2061,87,92,Hearts in Atlantis,WB,24185781.00,2010,"$9,021,494 ",1751,28-Sep,0,2001
2062,88,93,Angel Eyes,WB,24174218.00,2407,"$9,225,575 ",2375,18-May,0,2001
2063,89,94,Corky Romano,BV,23980304.00,2094,"$9,023,173 ",2062,12-Oct,0,2001
2064,90,95,Heist,WB,23510841.00,1891,"$7,823,521 ",1891,9-Nov,0,2001
2065,91,96,Kingdom Come,FoxS,23249649.00,1111,"$7,562,284 ",1111,11-Apr,0,2001
2066,92,97,Joe Somebody,Fox,22771646.00,2517,"$3,553,725 ",2506,21-Dec,0,2001
2067,93,98,Two Can Play That Game,SGem,22235901.00,1308,"$7,720,942 ",1297,7-Sep,0,2001
2068,0,5,My Big Fat Greek Wedding,IFC,241438208.00,2016,"$597,362 ",108,19-Apr,13-Apr,2002
2069,1,6,Signs,BV,227966634.00,3453,"$60,117,080 ",3264,2-Aug,6-Feb,2002
2070,2,7,Austin Powers in Goldmember,NL,213307889.00,3613,"$73,071,188 ",3613,26-Jul,21-Nov,2002
2071,3,8,Men in Black II,Sony,190418803.00,3641,"$52,148,751 ",3557,3-Jul,2-Sep,2002
2072,4,9,Ice Age,Fox,176387405.00,3345,"$46,312,454 ",3316,15-Mar,2-Sep,2002
2073,5,10,Chicago,Mira.,170687518.00,2701,"$2,074,929 ",77,27-Dec,4-Sep,2002
2074,6,11,Catch Me If You Can,DW,164615351.00,3225,"$30,053,627 ",3156,25-Dec,22-May,2002
2075,7,12,Die Another Day,MGM,160942139.00,3377,"$47,072,040 ",3314,22-Nov,1-May,2002
2076,8,13,Scooby-Doo,WB,153294164.00,3447,"$54,155,312 ",3447,14-Jun,31-Oct,2002
2077,9,14,Lilo & Stitch,BV,145794338.00,3222,"$35,260,212 ",3191,21-Jun,26-Nov,2002
2078,10,15,XXX,SonR,142109382.00,3536,"$44,506,103 ",3374,9-Aug,5-Jan,2002
2079,11,16,The Santa Clause 2,BV,139236327.00,3352,"$29,008,696 ",3350,1-Nov,6-Feb,2002
2080,12,17,Minority Report,Fox,132072926.00,3001,"$35,677,125 ",3001,21-Jun,31-Oct,2002
2081,13,18,The Ring,DW,129128133.00,2927,"$15,015,393 ",1981,18-Oct,20-Mar,2002
2082,14,19,Sweet Home Alabama,BV,127223418.00,3313,"$35,648,740 ",3293,27-Sep,20-Feb,2002
2083,15,20,Mr. Deeds,Sony,126293452.00,3239,"$37,162,787 ",3231,28-Jun,19-Dec,2002
2084,16,21,The Bourne Identity,Uni.,121661683.00,2663,"$27,118,640 ",2638,14-Jun,21-Nov,2002
2085,17,22,The Sum of All Fears,Par.,118907036.00,3230,"$31,178,526 ",3183,31-May,5-Sep,2002
2086,18,23,8 Mile,Uni.,116750901.00,2585,"$51,240,555 ",2470,8-Nov,27-Mar,2002
2087,19,24,Road to Perdition,DW,104454762.00,2332,"$22,079,481 ",1797,12-Jul,28-Nov,2002
2088,20,25,Panic Room,Sony,96397334.00,3119,"$30,056,751 ",3053,29-Mar,9-Jun,2002
2089,21,26,Maid in Manhattan,SonR,94011225.00,3050,"$18,711,407 ",2838,13-Dec,8-May,2002
2090,22,27,Two Weeks Notice,WB,93354851.00,2755,"$14,328,494 ",2755,20-Dec,4-May,2002
2091,23,28,Space Station 3-D (IMAX),Imax,93310860.00,64,"$489,488 ",24,19-Apr,-,2002
2092,24,29,Red Dragon,Uni.,93149898.00,3363,"$36,540,945 ",3357,4-Oct,2-Jan,2002
2093,25,30,The Scorpion King,Uni.,91047077.00,3466,"$36,075,875 ",3444,19-Apr,27-Jun,2002
2094,26,31,Spy Kids 2: The Island of Lost Dreams,Dim.,85846429.00,3307,"$16,711,716 ",3307,7-Aug,12-Jan,2002
2095,27,32,Blade II,NL,82348319.00,2707,"$32,528,016 ",2707,22-Mar,30-May,2002
2096,28,33,Snow Dogs,BV,81172560.00,2454,"$17,814,259 ",2302,18-Jan,13-Jun,2002
2097,29,34,We Were Soldiers,Par.,78122718.00,3143,"$20,212,543 ",3143,1-Mar,4-Jul,2002
2098,30,35,Gangs of New York,Mira.,77812000.00,2340,"$9,496,870 ",1504,20-Dec,1-Jun,2002
2099,31,36,Barbershop,MGM,75782105.00,2176,"$20,627,433 ",1605,13-Sep,6-Feb,2002
2100,32,37,The Rookie,BV,75600072.00,2543,"$16,021,684 ",2511,29-Mar,29-Aug,2002
2101,33,38,Spirit: Stallion of the Cimarron,DW,73280117.00,3362,"$17,770,036 ",3317,24-May,12-Sep,2002
2102,34,39,John Q.,NL,71756802.00,2505,"$20,275,194 ",2466,15-Feb,2-May,2002
2103,35,40,Divine Secrets of the Ya-Ya Sisterhood,WB,69599016.00,2792,"$16,167,412 ",2507,7-Jun,10-Oct,2002
2104,36,41,Insomnia,WB,67355513.00,2610,"$20,930,169 ",2610,24-May,26-Sep,2002
2105,37,42,Changing Lanes,Par.,66818548.00,2642,"$17,128,062 ",2613,12-Apr,8-Aug,2002
2106,38,43,About Schmidt,NL,65016287.00,1240,"$282,367 ",6,13-Dec,29-May,2002
2107,39,44,Stuart Little 2,Sony,64956806.00,3282,"$15,115,152 ",3255,19-Jul,5-Jan,2002
2108,40,45,Jackass: The Movie,Par.,64255312.00,2532,"$22,763,437 ",2509,25-Oct,16-Jan,2002
2109,41,46,The Time Machine,DW,56832494.00,2958,"$22,610,437 ",2944,8-Mar,23-May,2002
2110,42,47,Drumline,Fox,56399184.00,1837,"$12,604,705 ",1836,13-Dec,1-May,2002
2111,43,48,The Count of Monte Cristo,BV,54234062.00,2211,"$11,376,150 ",2007,25-Jan,20-Jun,2002
2112,44,49,Unfaithful,Fox,52775765.00,2625,"$14,065,277 ",2617,8-May,13-Aug,2002
2113,45,50,Like Mike,Fox,51432760.00,2436,"$12,179,420 ",2410,3-Jul,19-Nov,2002
2114,46,51,The Tuxedo,DW,50547998.00,3022,"$15,051,028 ",3022,27-Sep,12-Jan,2002
2115,47,52,Return to Never Land,BV,48430258.00,2626,"$11,889,631 ",2605,15-Feb,13-Jun,2002
2116,48,53,Big Fat Liar,Uni.,48360547.00,2534,"$11,554,015 ",2531,8-Feb,11-Apr,2002
2117,49,54,Star Trek: Nemesis,Par.,43254409.00,2711,"$18,513,305 ",2711,13-Dec,13-Mar,2002
2118,50,55,Reign of Fire,BV,43061982.00,2629,"$15,632,281 ",2629,12-Jul,24-Oct,2002
2119,51,56,The Hours,Par.,41675994.00,1010,"$338,622 ",11,27-Dec,22-May,2002
2120,52,57,High Crimes,Fox,41543917.00,2747,"$14,005,550 ",2717,5-Apr,22-Aug,2002
2121,53,58,About a Boy,Uni.,41385278.00,1756,"$8,557,630 ",1207,17-May,18-Jul,2002
2122,54,59,A Walk to Remember,WB,41281092.00,2420,"$12,177,488 ",2411,25-Jan,2-May,2002
2123,55,60,Orange County,Par.,41076018.00,2317,"$15,053,226 ",2317,11-Jan,28-Mar,2002
2124,56,61,Windtalkers,MGM,40914068.00,2898,"$14,520,412 ",2898,14-Jun,17-Oct,2002
2125,57,62,Blue Crush,Uni.,40390647.00,3015,"$14,169,455 ",3002,16-Aug,3-Oct,2002
2126,58,63,The Master of Disguise,SonR,40388794.00,2568,"$12,554,650 ",2565,2-Aug,28-Nov,2002
2127,59,64,Resident Evil,SGem,40119709.00,2528,"$17,707,106 ",2528,15-Mar,9-May,2002
2128,60,65,The Wild Thornberrys,Par.,40108697.00,3012,"$6,013,847 ",3012,20-Dec,8-May,2002
2129,61,66,Collateral Damage,WB,40077257.00,2824,"$15,058,432 ",2824,8-Feb,2-May,2002
2130,62,67,Enough,Sony,40007742.00,2623,"$14,009,653 ",2623,24-May,11-Jul,2002
2131,63,68,Undercover Brother,Uni.,39089928.00,2169,"$12,037,685 ",2167,31-May,18-Jul,2002
2132,64,69,Treasure Planet,BV,38176783.00,3227,"$12,083,248 ",3227,27-Nov,13-Feb,2002
2133,65,70,Showtime,WB,38082712.00,2917,"$15,011,430 ",2917,15-Mar,30-May,2002
2134,66,71,40 Days and 40 Nights,Mira.,37950822.00,2399,"$12,229,529 ",2225,1-Mar,23-May,2002
2135,67,72,Crossroads,Par.,37191304.00,2713,"$14,527,187 ",2380,15-Feb,9-May,2002
2136,68,73,Clockstoppers,Par.,36989956.00,2563,"$10,108,333 ",2540,29-Mar,1-Aug,2002
2137,69,74,The Mothman Prophecies,SGem,35746370.00,2331,"$11,208,851 ",2331,25-Jan,17-Mar,2002
2138,70,75,E.T. (20th Anniversary),Uni.,35306015.00,3007,"$14,223,110 ",3007,22-Mar,16-May,2002
2139,71,76,K-19: The Widowmaker,Par.,35168966.00,2830,"$12,778,459 ",2828,19-Jul,24-Oct,2002
2140,72,77,The Hot Chick,BV,35081594.00,2246,"$7,401,146 ",2217,13-Dec,4-May,2002
2141,73,78,I Spy,Sony,33561137.00,3182,"$12,752,803 ",3182,1-Nov,20-Jan,2002
2142,74,79,Friday After Next,NL,33253609.00,1621,"$13,010,767 ",1616,22-Nov,16-Mar,2002
2143,75,80,The Pianist,Focus,32572577.00,842,"$111,261 ",6,25-Dec,8-Jun,2002
2144,76,81,Analyze That,WB,32130627.00,2635,"$11,034,422 ",2635,6-Dec,20-Feb,2002
2145,77,82,Murder by Numbers,WB,31945749.00,2663,"$9,307,394 ",2663,19-Apr,4-Jul,2002
2146,78,83,One Hour Photo,FoxS,31597131.00,1332,"$321,515 ",7,21-Aug,5-Jan,2002
2147,79,84,Halloween: Resurrection,Dim.,30354442.00,2094,"$12,292,121 ",1954,12-Jul,31-Oct,2002
2148,80,85,Queen of the Damned,WB,30336800.00,2511,"$14,757,535 ",2511,22-Feb,9-May,2002
2149,81,86,Dragonfly,Uni.,30323400.00,2507,"$10,216,025 ",2507,22-Feb,11-Apr,2002
2150,82,87,The Banger Sisters,FoxS,30307416.00,2739,"$10,037,846 ",2738,20-Sep,26-Dec,2002
2151,83,88,Bad Company,BV,30160161.00,2944,"$11,007,367 ",2944,7-Jun,26-Sep,2002
2152,84,89,Ghost Ship,WB,30113491.00,2787,"$11,503,423 ",2787,25-Oct,26-Jan,2002
2153,85,90,The New Guy,SonR,29760152.00,2687,"$9,007,833 ",2687,10-May,30-Jun,2002
2154,86,91,SwimFan,Fox,28564995.00,2860,"$11,326,601 ",2856,6-Sep,5-Dec,2002
2155,87,92,The Crocodile Hunter: Collision Course,MGM,28442574.00,2535,"$9,537,123 ",2525,12-Jul,5-Dec,2002
