Original_Studio,gross_sum,New_Studio,Manual_Check,Same_Name,Disney_Fox,Disney_Sony,Disney_Universal,Disney_Warner
Plexifilm,3604,Plexifilm,0,Plexifilm,Plexifilm,Plexifilm,Plexifilm,Plexifilm
Brothers' Ink Productions,3496,Brothers' Ink Productions,0,Brothers' Ink Productions,Brothers' Ink Productions,Brothers' Ink Productions,Brothers' Ink Productions,Brothers' Ink Productions
Cortelyou Films,3412,Cortelyou Films,0,Cortelyou Films,Cortelyou Films,Cortelyou Films,Cortelyou Films,Cortelyou Films
Four Eyed Monsters,3135,Four Eyed Monsters,0,Four Eyed Monsters,Four Eyed Monsters,Four Eyed Monsters,Four Eyed Monsters,Four Eyed Monsters
Dog Lover's Symphony,2968,Dog Lover's Symphony,0,Dog Lover's Symphony,Dog Lover's Symphony,Dog Lover's Symphony,Dog Lover's Symphony,Dog Lover's Symphony
Cinema Village Features,2554,Cinema Village Features,0,Cinema Village Features,Cinema Village Features,Cinema Village Features,Cinema Village Features,Cinema Village Features
Cheapo Films,2500,Cheapo Films,0,Cheapo Films,Cheapo Films,Cheapo Films,Cheapo Films,Cheapo Films
Tag Entertainment,2462,Tag Entertainment,0,Tag Entertainment,Tag Entertainment,Tag Entertainment,Tag Entertainment,Tag Entertainment
Synergetic Distribution,2367,Synergetic Distribution,0,Synergetic Distribution,Synergetic Distribution,Synergetic Distribution,Synergetic Distribution,Synergetic Distribution
Bullz Eye Productions,2268,Bullz Eye Productions,0,Bullz Eye Productions,Bullz Eye Productions,Bullz Eye Productions,Bullz Eye Productions,Bullz Eye Productions
Artsploitation Films,2255,Artsploitation Films,0,Artsploitation Films,Artsploitation Films,Artsploitation Films,Artsploitation Films,Artsploitation Films
Hummingbird Pictures,2216,Hummingbird Pictures,0,Hummingbird Pictures,Hummingbird Pictures,Hummingbird Pictures,Hummingbird Pictures,Hummingbird Pictures
Reactor 88 Studios,2207,Reactor 88 Studios,0,Reactor 88 Studios,Reactor 88 Studios,Reactor 88 Studios,Reactor 88 Studios,Reactor 88 Studios
Feature Presentations Releasing,2000,Feature Presentations Releasing,0,Feature Presentations Releasing,Feature Presentations Releasing,Feature Presentations Releasing,Feature Presentations Releasing,Feature Presentations Releasing
Lumiere Productions,1884,Lumiere Productions,0,Lumiere Productions,Lumiere Productions,Lumiere Productions,Lumiere Productions,Lumiere Productions
Zell-Koj Studio,1739,Zell-Koj Studio,0,Zell-Koj Studio,Zell-Koj Studio,Zell-Koj Studio,Zell-Koj Studio,Zell-Koj Studio
MarVista Entertainment,1598,MarVista Entertainment,0,MarVista Entertainment,MarVista Entertainment,MarVista Entertainment,MarVista Entertainment,MarVista Entertainment
Monarch,1590,Monarch,0,Monarch,Monarch,Monarch,Monarch,Monarch
Running Entertainment,1570,Running Entertainment,0,Running Entertainment,Running Entertainment,Running Entertainment,Running Entertainment,Running Entertainment
Blackrock Films,1532,Blackrock Films,0,Blackrock Films,Blackrock Films,Blackrock Films,Blackrock Films,Blackrock Films
Boll Films,1500,Boll Films,0,Boll Films,Boll Films,Boll Films,Boll Films,Boll Films
Kathi Arts,1416,Kathi Arts,0,Kathi Arts,Kathi Arts,Kathi Arts,Kathi Arts,Kathi Arts
Oilrag Productions,831,Oilrag Productions,0,Oilrag Productions,Oilrag Productions,Oilrag Productions,Oilrag Productions,Oilrag Productions
Phantom Pain Films,418,Phantom Pain Films,0,Phantom Pain Films,Phantom Pain Films,Phantom Pain Films,Phantom Pain Films,Phantom Pain Films
Check Entertainment,100,Check Entertainment,0,Check Entertainment,Check Entertainment,Check Entertainment,Check Entertainment,Check Entertainment
