Original_Studio,gross_sum,New_Studio,Manual_Check,Same_Name,Disney_Fox,Disney_Sony,Disney_Universal,Disney_Warner
Hemdale,38821473,Hemdale,0,Hemdale,Hemdale,Hemdale,Hemdale,Hemdale
Reliance Big Pictures,38242725,Reliance Big Pictures,0,Reliance Big Pictures,Reliance Big Pictures,Reliance Big Pictures,Reliance Big Pictures,Reliance Big Pictures
RADiUS-TWC,35861947,RADiUS-TWC,0,RADiUS-TWC,RADiUS-TWC,RADiUS-TWC,RADiUS-TWC,RADiUS-TWC
Orion Classics,32213613,Orion Classics,0,Orion Classics,Orion Classics,Orion Classics,Orion Classics,Orion Classics
Apparition,29941464,Apparition,0,Apparition,Apparition,Apparition,Apparition,Apparition
Clarius Entertainment,29111605,Clarius Entertainment,0,Clarius Entertainment,Clarius Entertainment,Clarius Entertainment,Clarius Entertainment,Clarius Entertainment
Zeitgeist Films,27283838,Zeitgeist Films,0,Zeitgeist Films,Zeitgeist Films,Zeitgeist Films,Zeitgeist Films,Zeitgeist Films
Entertainment One,27076493,Entertainment One,0,Entertainment One,Entertainment One,Entertainment One,Entertainment One,Entertainment One
Island Pictures,26965221,Island Pictures,0,Island Pictures,Island Pictures,Island Pictures,Island Pictures,Island Pictures
Cohen Media Group,24348364,Cohen Media Group,0,Cohen Media Group,Cohen Media Group,Cohen Media Group,Cohen Media Group,Cohen Media Group
Shorts International,24136197,Shorts International,0,Shorts International,Shorts International,Shorts International,Shorts International,Shorts International
China Lion Film Distribution,23825663,China Lion Film Distribution,0,China Lion Film Distribution,China Lion Film Distribution,China Lion Film Distribution,China Lion Film Distribution,China Lion Film Distribution
The Orchard,23076445,The Orchard,0,The Orchard,The Orchard,The Orchard,The Orchard,The Orchard
Great India Films,22849749,Great India Films,0,Great India Films,Great India Films,Great India Films,Great India Films,Great India Films
8x Entertainment,22721961,8x Entertainment,0,8x Entertainment,8x Entertainment,8x Entertainment,8x Entertainment,8x Entertainment
Oscilloscope,21049398,Oscilloscope,0,Oscilloscope,Oscilloscope,Oscilloscope,Oscilloscope,Oscilloscope
Millennium Entertainment,20682249,Millennium Entertainment,0,Millennium Entertainment,Millennium Entertainment,Millennium Entertainment,Millennium Entertainment,Millennium Entertainment
Avenue Pictures Productions,20247533,Avenue Pictures Productions,0,Avenue Pictures Productions,Avenue Pictures Productions,Avenue Pictures Productions,Avenue Pictures Productions,Avenue Pictures Productions
CJ Entertainment,20175488,CJ Entertainment,0,CJ Entertainment,CJ Entertainment,CJ Entertainment,CJ Entertainment,CJ Entertainment
Strand Releasing,18839553,Strand Releasing,0,Strand Releasing,Strand Releasing,Strand Releasing,Strand Releasing,Strand Releasing
Trafalgar Releasing,17896322,Trafalgar Releasing,0,Trafalgar Releasing,Trafalgar Releasing,Trafalgar Releasing,Trafalgar Releasing,Trafalgar Releasing
LD Entertainment,17075800,LD Entertainment,0,LD Entertainment,LD Entertainment,LD Entertainment,LD Entertainment,LD Entertainment
Anchor Bay Films,16593152,Anchor Bay Films,0,Anchor Bay Films,Anchor Bay Films,Anchor Bay Films,Anchor Bay Films,Anchor Bay Films
Island Alive,16058930,Island Alive,0,Island Alive,Island Alive,Island Alive,Island Alive,Island Alive
Odeon,15694175,Odeon,0,Odeon,Odeon,Odeon,Odeon,Odeon
SK Films,15478288,SK Films,0,SK Films,SK Films,SK Films,SK Films,SK Films
Skouras Pictures,15427997,Skouras Pictures,0,Skouras Pictures,Skouras Pictures,Skouras Pictures,Skouras Pictures,Skouras Pictures
GKIDS,15051830,GKIDS,0,GKIDS,GKIDS,GKIDS,GKIDS,GKIDS
Providence Entertainment,14970543,Providence Entertainment,0,Providence Entertainment,Providence Entertainment,Providence Entertainment,Providence Entertainment,Providence Entertainment
Abramorama,14761514,Abramorama,0,Abramorama,Abramorama,Abramorama,Abramorama,Abramorama
Excel Entertainment,14705254,Excel Entertainment,0,Excel Entertainment,Excel Entertainment,Excel Entertainment,Excel Entertainment,Excel Entertainment
Kino International,14065042,Kino International,0,Kino International,Kino International,Kino International,Kino International,Kino International
Empire Pictures,13656741,Empire Pictures,0,Empire Pictures,Empire Pictures,Empire Pictures,Empire Pictures,Empire Pictures
Purdie Distribution,13488800,Purdie Distribution,0,Purdie Distribution,Purdie Distribution,Purdie Distribution,Purdie Distribution,Purdie Distribution
Atlas Distribution Company,13230808,Atlas Distribution Company,0,Atlas Distribution Company,Atlas Distribution Company,Atlas Distribution Company,Atlas Distribution Company,Atlas Distribution Company
3D Entertainment,12995422,3D Entertainment,0,3D Entertainment,3D Entertainment,3D Entertainment,3D Entertainment,3D Entertainment
Concorde Pictures,12978239,Concorde Pictures,0,Concorde Pictures,Concorde Pictures,Concorde Pictures,Concorde Pictures,Concorde Pictures
Greenwich Entertainment,12702263,Greenwich Entertainment,0,Greenwich Entertainment,Greenwich Entertainment,Greenwich Entertainment,Greenwich Entertainment,Greenwich Entertainment
Dragon Dynasty,12044087,Dragon Dynasty,0,Dragon Dynasty,Dragon Dynasty,Dragon Dynasty,Dragon Dynasty,Dragon Dynasty
Vivendi Entertainment,11953732,Vivendi Entertainment,0,Vivendi Entertainment,Vivendi Entertainment,Vivendi Entertainment,Vivendi Entertainment,Vivendi Entertainment
Wellspring Media,11437551,Wellspring Media,0,Wellspring Media,Wellspring Media,Wellspring Media,Wellspring Media,Wellspring Media
Rialto Pictures,11271959,Rialto Pictures,0,Rialto Pictures,Rialto Pictures,Rialto Pictures,Rialto Pictures,Rialto Pictures
Kino Lorber,10773629,Kino Lorber,0,Kino Lorber,Kino Lorber,Kino Lorber,Kino Lorber,Kino Lorber
First Run,10464881,First Run,0,First Run,First Run,First Run,First Run,First Run
New Yorker Films,10462824,New Yorker Films,0,New Yorker Films,New Yorker Films,New Yorker Films,New Yorker Films,New Yorker Films
Christal Films,10029924,Christal Films,0,Christal Films,Christal Films,Christal Films,Christal Films,Christal Films
Giant Screen Films,9474793,Giant Screen Films,0,Giant Screen Films,Giant Screen Films,Giant Screen Films,Giant Screen Films,Giant Screen Films
Arc Entertainment,9277749,Arc Entertainment,0,Arc Entertainment,Arc Entertainment,Arc Entertainment,Arc Entertainment,Arc Entertainment
CMC Pictures,9259238,CMC Pictures,0,CMC Pictures,CMC Pictures,CMC Pictures,CMC Pictures,CMC Pictures
Codeblack Entertainment,9199601,Codeblack Entertainment,0,Codeblack Entertainment,Codeblack Entertainment,Codeblack Entertainment,Codeblack Entertainment,Codeblack Entertainment
Indican Pictures,9191290,Indican Pictures,0,Indican Pictures,Indican Pictures,Indican Pictures,Indican Pictures,Indican Pictures
R.S. Entertainment,8431308,R.S. Entertainment,0,R.S. Entertainment,R.S. Entertainment,R.S. Entertainment,R.S. Entertainment,R.S. Entertainment
Janus Films,8320697,Janus Films,0,Janus Films,Janus Films,Janus Films,Janus Films,Janus Films
Roxie Releasing,8265707,Roxie Releasing,0,Roxie Releasing,Roxie Releasing,Roxie Releasing,Roxie Releasing,Roxie Releasing
Saban Films,8212163,Saban Films,0,Saban Films,Saban Films,Saban Films,Saban Films,Saban Films
