Original_Studio,gross_sum,New_Studio,Manual_Check,Same_Name
RBC Radio,229411,RBC Radio,0,RBC Radio
Tara Releasing,225628,Tara Releasing,0,Tara Releasing
Parallel Media,224409,Parallel Media,0,Parallel Media
Redwood Palms Pictures,224169,Redwood Palms Pictures,0,Redwood Palms Pictures
Films Philos,219874,Films Philos,0,Films Philos
FilmBuff,217508,FilmBuff,0,FilmBuff
Fair Trade Pictures,215185,Fair Trade Pictures,0,Fair Trade Pictures
Elevation Pictures,211941,Elevation Pictures,0,Elevation Pictures
Parade Deck Films,210885,Parade Deck Films,0,Parade Deck Films
7-57 Releasing,210625,7-57 Releasing,0,7-57 Releasing
Shooting Gallery,210148,Shooting Gallery,0,Shooting Gallery
Tentmakers Entertainment,209342,Tentmakers Entertainment,0,Tentmakers Entertainment
AVCO Embassy Pictures,200498,AVCO Embassy Pictures,0,AVCO Embassy Pictures
Warrior Poets Releasing,200009,Warrior Poets Releasing,0,Warrior Poets Releasing
Lightyear Entertainment,197872,Lightyear Entertainment,0,Lightyear Entertainment
Ariztical Entertainment,194334,Ariztical Entertainment,0,Ariztical Entertainment
Fourth and Broadway,193209,Fourth and Broadway,0,Fourth and Broadway
Film Collective,189942,Film Collective,0,Film Collective
Academy Entertainment,188476,Academy Entertainment,0,Academy Entertainment
Lantern Lane Entertainment,187404,Lantern Lane Entertainment,0,Lantern Lane Entertainment
Wolfe Releasing,182727,Wolfe Releasing,0,Wolfe Releasing
Luminous Velocity Releasing,181090,Luminous Velocity Releasing,0,Luminous Velocity Releasing
BBC Worldwide North America,181079,BBC Worldwide North America,0,BBC Worldwide North America
Goodbye Cruel Releasing,180575,Goodbye Cruel Releasing,0,Goodbye Cruel Releasing
First Stripe Productions,177204,First Stripe Productions,0,First Stripe Productions
Providence Film Partners,173820,Providence Film Partners,0,Providence Film Partners
Capelight Pictures,172987,Capelight Pictures,0,Capelight Pictures
Shout! Factory,168468,Shout! Factory,0,Shout! Factory
Priority Films,166620,Priority Films,0,Priority Films
Lang Films,164520,Lang Films,0,Lang Films
Mountain Top Releasing,163950,Mountain Top Releasing,0,Mountain Top Releasing
California Newsreel,161726,California Newsreel,0,California Newsreel
Tulip Pictures,158723,Tulip Pictures,0,Tulip Pictures
Palisades Tartan,158543,Palisades Tartan,0,Palisades Tartan
Phase 4 Films,156124,Phase 4 Films,0,Phase 4 Films
Under The Milky Way,153117,Under The Milky Way,0,Under The Milky Way
Motion Film Group,148994,Motion Film Group,0,Motion Film Group
Conglomerate Media,147175,Conglomerate Media,0,Conglomerate Media
Kindred Media Group,146860,Kindred Media Group,0,Kindred Media Group
Dark Coast Pictures,144680,Dark Coast Pictures,0,Dark Coast Pictures
Peninsula Films,144008,Peninsula Films,0,Peninsula Films
Manga,143355,Manga,0,Manga
New Films Cinema,138788,New Films Cinema,0,New Films Cinema
Meadowbrook Pictures,138262,Meadowbrook Pictures,0,Meadowbrook Pictures
Unitel Pictures,132920,Unitel Pictures,0,Unitel Pictures
